assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,555,132,0,0,0.0,0.0,2018-11-30T20:00:00Z,0,5,0,0,0,0,14,0,0,1,2,0.0,0,0,0,0,45,False,0,Wolves,Cardiff,3,2
0,0,0,0,0.0,555,148,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,6,0,0,0,0,15,0,92,1,2,0.0,0,56,72,16,45,True,0,Wolves,Chelsea,3,4
0,0,0,0,0.0,555,159,0,0,0.0,0.0,2018-12-09T16:00:00Z,0,15,0,0,0,0,16,0,162,2,1,0.0,0,39,67,28,45,False,0,Wolves,Newcastle,3,3
0,0,0,0,0.0,555,170,0,0,0.0,0.0,2018-12-15T15:00:00Z,0,2,0,0,0,0,17,0,254,0,2,0.0,0,42,103,61,45,True,0,Wolves,Bournemouth,3,2
0,0,0,0,0.0,555,180,0,0,0.0,0.0,2018-12-21T20:00:00Z,0,12,0,0,0,0,18,0,320,2,0,0.0,0,29,95,66,45,True,0,Wolves,Liverpool,3,4
0,0,0,0,0.0,555,184,0,0,0.0,0.0,2018-12-26T12:30:00Z,0,9,0,0,0,0,19,0,417,1,1,0.0,0,48,103,55,45,False,0,Wolves,Fulham,3,2
0,0,0,0,0.0,555,199,0,0,0.0,0.0,2018-12-29T15:00:00Z,0,17,0,0,0,0,20,0,547,3,1,0.0,0,77,145,68,45,False,0,Wolves,Spurs,3,4
0,0,0,0,0.0,555,210,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,7,0,0,0,0,21,0,644,2,0,0.0,0,60,167,107,45,True,0,Wolves,Crystal Palace,3,2
0,0,0,0,0.0,555,218,0,0,0.0,0.0,2019-01-14T20:00:00Z,0,13,0,0,0,0,22,0,749,0,3,0.0,0,44,180,136,45,False,0,Wolves,Man City,3,5
0,0,0,0,0.0,555,230,0,0,0.0,0.0,2019-01-19T12:30:00Z,0,11,0,0,0,0,23,0,843,3,4,0.0,0,30,127,97,45,True,0,Wolves,Leicester,3,3
0,0,0,0,0.0,555,236,0,0,0.0,0.0,2019-01-29T19:45:00Z,0,19,0,0,0,0,24,0,920,0,3,0.0,0,34,143,109,45,True,0,Wolves,West Ham,3,3
0,0,0,0,0.0,555,246,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,8,0,0,0,0,25,0,980,3,1,0.0,0,25,87,62,45,False,0,Wolves,Everton,3,3
0,0,0,0,0.0,555,260,0,0,0.0,0.0,2019-02-11T20:00:00Z,0,15,0,0,0,0,26,0,1051,1,1,0.0,0,39,153,114,45,True,0,Wolves,Newcastle,3,2
0,0,0,0,0.0,555,262,0,0,0.0,0.0,2019-02-23T15:00:00Z,0,2,0,0,0,0,27,0,1256,1,1,0.0,0,51,139,88,45,False,0,Wolves,Bournemouth,3,3
0,0,0,0,0.0,555,274,0,0,0.0,0.0,2019-02-26T19:45:00Z,0,10,0,0,0,0,28,0,1211,0,1,0.0,0,2,56,54,45,False,0,Wolves,Huddersfield,3,2
0,0,0,0,0.0,555,290,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,5,0,0,0,0,29,0,1251,0,2,0.0,0,21,73,52,45,True,0,Wolves,Cardiff,3,2
0,0,0,0,0.0,555,293,0,0,0.0,0.0,2019-03-10T14:05:00Z,0,6,0,0,0,0,30,0,1281,1,1,0.0,0,11,78,67,45,False,0,Wolves,Chelsea,3,4
0,0,0,0,0.0,555,313,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,4,0,0,0,0,32,0,1574,0,2,0.0,0,45,134,89,45,False,0,Wolves,Burnley,3,3
0,0,0,0,0.0,555,330,0,0,0.0,0.0,2019-04-02T18:45:00Z,0,14,0,0,0,0,32,0,1574,1,2,0.0,0,45,134,89,45,True,0,Wolves,Man Utd,3,4
0,0,0,0,0.0,555,338,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,16,0,0,0,0,34,0,1546,1,3,0.0,0,-7,43,50,45,False,0,Wolves,Southampton,3,2
0,0,0,0,0.0,555,350,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,3,0,0,0,0,35,0,1570,0,0,0.0,0,-8,58,66,45,True,0,Wolves,Brighton,3,2
0,0,0,0,0.0,555,310,0,0,0.0,0.0,2019-04-24T18:45:00Z,0,1,0,0,0,0,35,0,1570,1,3,0.0,0,-8,58,66,45,True,0,Wolves,Arsenal,3,4
0,0,0,0,0.0,555,360,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,18,0,0,0,0,36,0,1596,2,1,0.0,0,14,57,43,45,False,0,Wolves,Watford,3,3
0,0,0,0,0.0,555,370,0,0,0.0,0.0,2019-05-04T14:00:00Z,0,9,0,0,0,0,37,0,1614,0,1,0.0,0,10,56,46,45,True,0,Wolves,Fulham,3,2
0,0,0,0,0.0,555,376,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,12,0,0,0,0,38,0,1760,0,2,0.0,0,97,166,69,45,False,0,Wolves,Liverpool,3,5
