assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,21,1,5.3,590,31,0,0,2.7,7.4,2021-09-11T14:00:00Z,61,15,0,0,0,0,4,0,11378,0,1,14.0,6,9240,14647,5407,45,True,0,Arsenal,Norwich,4,2,1,7.0,0,2.7,1,1,0.0,1.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,25,1,2.9,590,43,0,0,2.0,17.4,2021-09-18T14:00:00Z,90,5,0,0,0,0,5,0,78048,1,0,0.0,6,58029,71464,13435,45,False,0,Arsenal,Burnley,3,2,1,7.0,0,2.7,1,0,0.0,1.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,12,0,2.3,590,51,1,0,3.2,12.2,2021-09-26T15:30:00Z,90,17,0,0,0,0,6,0,135957,1,3,17.0,2,50338,60615,10277,45,True,0,Arsenal,Spurs,4,3,1,8.0625,0,2.0,2,1,0.0,1.0,0.0,0.0,75.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,21,1,1.3,590,61,0,0,0.9,7.4,2021-10-02T16:30:00Z,90,4,0,0,0,0,7,0,220740,0,0,0.0,6,79105,92031,12926,45,False,0,Arsenal,Brighton,3,3,1,6.041666666666668,0,3.2,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,80.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1
0,0,8,0,14.9,590,71,2,0,3.6,21.2,2021-10-18T19:00:00Z,90,7,0,0,0,0,8,0,264739,2,2,0.0,1,41829,56322,14493,46,True,0,Arsenal,Crystal Palace,4,2,1,5.0,0,0.9,0,1,0.0,0.75,0.25,0.0,82.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,12,0,3.2,590,81,1,0,2.0,16.2,2021-10-22T19:00:00Z,90,2,0,0,0,0,9,0,265066,1,3,1.0,2,1077,15416,14339,46,True,0,Arsenal,Aston Villa,4,3,1,4.0,0,3.6,2,1,0.0,0.6,0.6,0.0,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,0,25,1,1.5,590,93,0,0,2.1,17.4,2021-10-30T11:30:00Z,90,9,0,0,0,0,10,0,269427,2,0,2.0,6,1248,23955,22707,46,False,0,Arsenal,Leicester,3,3,1,7.6875,0,2.0,2,0,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,26,1,30.8,590,101,0,0,6.4,26.8,2021-11-07T14:00:00Z,90,18,0,0,0,0,11,0,301689,0,1,6.0,5,27207,37464,10257,46,True,1,Arsenal,Watford,4,2,1,7.104166666666668,0,2.1,1,1,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1
0,0,6,0,15.0,590,114,4,0,2.5,10.2,2021-11-20T17:30:00Z,90,11,0,0,0,0,12,0,294929,0,4,0.0,0,-6673,12488,19161,46,False,0,Arsenal,Liverpool,3,5,1,5.0,0,6.4,-4,0,0.0,0.6,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1
1,3,38,1,43.1,590,121,0,0,8.6,32.4,2021-11-27T12:30:00Z,90,14,0,0,0,0,13,0,291657,0,2,10.0,12,-5532,15474,21006,46,True,0,Arsenal,Newcastle,4,2,1,6.791666666666668,0,2.5,2,1,0.0,0.4,1.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1
0,0,11,0,18.4,590,134,3,0,3.2,13.2,2021-12-02T20:15:00Z,90,13,0,0,0,0,14,0,329334,2,3,0.0,1,34593,43164,8571,46,False,0,Arsenal,Man Utd,3,4,1,5.322916666666667,3,8.6,-1,0,0.2,0.6,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1
0,0,12,0,17.4,590,142,2,0,3.7,17.8,2021-12-06T20:00:00Z,90,8,0,0,0,0,15,0,372848,1,2,2.0,1,40713,50240,9527,46,False,0,Arsenal,Everton,3,2,1,3.9895833333333335,0,3.2,-1,0,0.2,0.6,1.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1
0,0,26,1,20.0,590,151,0,0,7.4,17.2,2021-12-11T15:00:00Z,90,16,0,0,0,0,16,0,432835,0,3,37.0,6,52461,66677,14216,47,True,0,Arsenal,Southampton,4,2,1,4.791666666666667,0,3.7,3,1,0.2,0.4,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1
0,2,29,1,21.3,590,161,0,0,4.8,25.0,2021-12-15T20:00:00Z,90,19,0,0,0,0,17,0,467111,0,2,2.0,8,37502,52081,14579,47,True,0,Arsenal,West Ham,4,3,1,4.208333333333333,0,7.4,2,1,0.2,0.4,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
0,0,18,1,0.3,590,173,0,0,0.6,3.8,2021-12-18T17:30:00Z,63,10,0,0,0,0,18,0,589852,4,1,2.0,6,96135,105451,9316,47,False,0,Arsenal,Leeds,3,2,1,2.895833333333333,2,4.8,3,0,0.2,0.6,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,0,0,0.0,590,187,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,15,0,0,0,0,19,0,461183,5,0,0.0,0,-47119,14060,61179,48,False,0,Arsenal,Norwich,3,2,1,7.895833333333332,0,0.6,5,0,0.0,0.6,1.0,0.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1
0,0,13,0,1.1,590,201,2,0,2.0,16.6,2022-01-01T12:30:00Z,90,12,0,0,0,0,21,0,342885,2,1,2.0,1,-71725,1996,73721,47,True,0,Arsenal,Man City,4,5,1,9.895833333333334,0,0.0,-1,1,0.0,0.6,0.4,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1
0,0,0,0,0.0,590,221,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,5,0,0,0,0,23,0,337868,0,0,0.0,0,-6286,14149,20435,47,True,0,Arsenal,Burnley,4,2,1,5.0,0,2.0,0,1,0.0,0.6,0.4,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1
0,0,0,0,0.0,590,236,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,20,0,0,0,0,24,0,299885,1,0,0.0,0,-37678,3575,41253,47,False,0,Arsenal,Wolves,3,4,1,5.0,0,0.0,1,0,0.0,0.4,0.4,0.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1
