assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength
0,0,0,0,0.0,594,245,0,0,0.0,0.0,2019-02-02T15:00:00Z,0,7,0,0,0,0,25,0,532,0,2,0.0,0,510,550,40,50,False,0,Fulham,Crystal Palace,2,2
0,0,0,0,0.0,594,253,0,0,0.0,0.0,2019-02-09T12:30:00Z,0,14,0,0,0,0,26,0,727,3,0,0.0,0,192,380,188,50,True,0,Fulham,Man Utd,2,4
0,0,3,0,13.0,594,270,1,0,2.3,6.2,2019-02-22T19:45:00Z,45,19,0,0,0,0,27,0,652,1,3,4.0,1,-83,98,181,50,False,0,Fulham,West Ham,2,3
0,0,0,0,0.0,594,280,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,16,0,0,0,0,28,0,662,0,2,0.0,0,0,99,99,50,False,0,Fulham,Southampton,2,2
0,0,0,0,0.0,594,285,0,0,0.0,0.0,2019-03-03T14:05:00Z,0,6,0,0,0,0,29,0,610,2,1,0.0,0,-61,73,134,50,True,0,Fulham,Chelsea,2,4
0,0,0,0,0.0,594,296,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,11,0,0,0,0,30,0,591,1,3,0.0,0,-36,83,119,49,False,0,Fulham,Leicester,2,3
0,0,0,0,0.0,594,305,0,0,0.0,0.0,2019-03-17T14:15:00Z,0,12,0,0,0,0,31,0,678,2,1,0.0,0,37,116,79,49,True,0,Fulham,Liverpool,2,4
0,0,0,0,0.0,594,316,0,0,0.0,0.0,2019-03-30T12:30:00Z,0,13,0,0,0,0,32,0,607,2,0,0.0,0,-59,48,107,49,True,0,Fulham,Man City,2,4
0,0,0,0,0.0,594,329,0,0,0.0,0.0,2019-04-02T18:45:00Z,0,18,0,0,0,0,32,0,607,1,4,0.0,0,-59,48,107,49,False,0,Fulham,Watford,2,3
0,0,0,0,0.0,594,334,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,8,0,0,0,0,34,0,546,0,2,0.0,0,-31,25,56,48,True,0,Fulham,Everton,2,2
0,0,0,0,0.0,594,342,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,2,0,0,0,0,35,0,463,1,0,0.0,0,-79,18,97,48,False,0,Fulham,Bournemouth,2,3
0,0,0,0,0.0,594,354,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,5,0,0,0,0,36,0,414,0,1,0.0,0,-52,17,69,47,True,0,Fulham,Cardiff,2,2
0,0,0,0,0.0,594,370,0,0,0.0,0.0,2019-05-04T14:00:00Z,0,20,0,0,0,0,37,0,398,0,1,0.0,0,-17,11,28,47,False,0,Fulham,Wolves,2,3
0,0,0,0,0.0,594,374,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,15,0,0,0,0,38,0,415,4,0,0.0,0,14,62,48,47,True,0,Fulham,Newcastle,2,2
